Organization Name,Email,Emailed?,Instagram,DM?,Facebook,
Cal Dragon Boat,caldragonboat@gmail.com,TRUE,https://www.instagram.com/caldragonboat/,FALSE,https://www.facebook.com/caldb,
Cal Figure Skating,ucbfigureskating@gmail.com,TRUE,https://www.instagram.com/calfigureskating/,FALSE,https://www.facebook.com/calfigureskating/,
Cal Habitat for Humanity,calhabitat.pres@gmail.com,TRUE,https://www.instagram.com/calhabitat/,FALSE,http://www.facebook.com/pages/Cal-Berkeley-Habitat-For-Humanity/130898433668821,
Cal Handball Club,evickers29@berkeley.edu,TRUE,https://www.instagram.com/calhandball/?hl=en,FALSE,,
Cal Hang-Gliding Club,lazarus.eli@berkeley.edu,TRUE,,FALSE,,
Cal Hawai'i Club,calhawaiiclub@gmail.com,TRUE,https://www.instagram.com/calhawaiiclub/,FALSE,https://www.facebook.com/groups/2200064318/,
Cal Hiking and Outdoor Society,gmboyd@berkeley.edu,TRUE,https://www.instagram.com/berkeleychaos/,FALSE,https://www.facebook.com/calhikingandoutdoorsociety,
Cal in the Capital,calinthecapital@gmail.com,TRUE,https://www.instagram.com/cal_inthecapital/,FALSE,https://www.facebook.com/calinthecapital,
Cal Japan Club,caljapanclub@gmail.com,TRUE,https://www.instagram.com/caljapanclub/,FALSE,https://www.facebook.com/groups/berkeleycjc/,
Cal Lightweight Rowing,callightweightrowing@gmail.com,TRUE,,FALSE,,
Cal Pre-Vet Club,calprevet.president@gmail.com,TRUE,https://www.instagram.com/calprevetclub/,FALSE,https://www.facebook.com/groups/calprevetclub/,
Cal Queer & Asian,cal.q.and.a@gmail.com,TRUE,http://www.instagram.com/calqanda,FALSE,https://www.facebook.com/calqanda/,
Cal Rotaract,info@calrotaract.org,TRUE,https://www.instagram.com/calrotaract/,FALSE,http://facebook.com/groups/CalRotaract,
Cal Seismic Design Team,calseismicteam@gmail.com,TRUE,http://www.instagram.com/calseismic,FALSE,http://www.facebook.com/CalSeismicDesign,
Cal Student Philanthropy,studentgiving@berkeley.edu,TRUE,http://instagram.com/calstudentphilanthropy,FALSE,http://facebook.com/CalStudentPhilanthropy,
Cal Super Mileage Vehicle Team,calsmv@gmail.com,TRUE,https://www.instagram.com/calsmv/,FALSE,https://www.facebook.com/CalSMV?ref=br_tf,
Cal Taiko,caltaiko@gmail.com,TRUE,https://www.instagram.com/calraijintaiko/,FALSE,http://www.facebook.com/pages/Cal-Raijin-Taiko/147059266397,
Cal Undergraduate Public Health Coalition,caluphc.publichealth@gmail.com,TRUE,https://www.instagram.com/caluphc/?hl=en,FALSE,http://facebook.com/caluphc.publichealth,
Cal Veterans Group,calvetsgroup@gmail.com,TRUE,https://www.instagram.com/cal.veterans.group/,FALSE,https://www.facebook.com/groups/calvets/,
Caliber Magazine,calibermag@gmail.com,TRUE,https://www.instagram.com/calibermag/,FALSE,https://www.facebook.com/calibermag,
"California Health Professional Student Alliance at Berkeley (Formerly ""at UC Berkeley"")",cahpsa.berkeley@gmail.com,TRUE,https://www.instagram.com/cahpsaberkeley/,FALSE,https://www.facebook.com/CaHPSA/,
California Mock Trial,calmocktrial@gmail.com,TRUE,https://instagram.com/calmocktrial?igshid=mq5iyxlbt4ra,FALSE,http://www.facebook.com/calmocktrial,
California Public Interest Research Group,calpirgbears@gmail.com,TRUE,http://www.instagram.com/calpirg_ucb,FALSE,https://www.facebook.com/berkeleycalpirg,
"Californians, The",berkeleyscc@gmail.com,TRUE,https://www.instagram.com/ucberkeleyscc/,FALSE,https://www.facebook.com/ucberkeleyscc2022/?hc_ref=ARTzVpUzjO1vXBXdxM_tcTG2CvknekbfVLCIt-J85pKz97rNiWmMBME38XNg0BWY910&fref=nf&__tn__=kC-R,
CalSol,calsol-me@berkeley.edu,TRUE,http://www.instagram.com/berkeleycalsol,FALSE,https://www.facebook.com/BerkeleyCalSol,
Camp Kesem Berkeley,berkeley@kesem.org,TRUE,https://www.instagram.com/kesemberkeley/,FALSE,https://www.facebook.com/kesemberkeley,
Campus Evangelistic Fellowship - Mandarin Group,berkeley@chinesecef.org,TRUE,,FALSE,https://www.facebook.com/groups/156150171144147/,
Capital Investments at Berkeley,sreetej.kalapatapu@berkeley.edu,TRUE,,FALSE,https://www.facebook.com/ciberkeley,
CASCADE: Community Service,cascadeberkeley@gmail.com,TRUE,https://www.instagram.com/cascade.berkeley/,FALSE,,
Cases over Coffee @ Berkeley,casesovercoffeeatberkeley@gmail.com,TRUE,https://www.instagram.com/calcasesovercoffee/,FALSE,https://www.facebook.com/Cases-over-Coffee-at-Berkeley-130371035202682,
Catalyst,catalystatcal@gmail.com,TRUE,https://www.instagram.com/catalyst.cal/,FALSE,https://www.facebook.com/catalyst.cal,
Caught on Film,caughtonfilm@ocf.berkeley.edu,TRUE,https://www.instagram.com/caughtonfilm.ucb/,FALSE,,
CED Students of Color,ashiyr_pierson@berkeley.edu,TRUE,,FALSE,,
Celli@Berkeley,wearecelli@gmail.com,TRUE,http://www.instagram.com/wearecelli,FALSE,https://www.facebook.com/WeAreCelli,
Central Americans for Empowerment at Berkeley,CAFEatucb@gmail.com,TRUE,https://www.instagram.com/cafeucb/?hl=en,FALSE,https://www.facebook.com/cafeucb/,
Changemakers at Berkeley,aeroanish@berkeley.edu,TRUE,https://www.instagram.com/ucbchangemaker/,FALSE,,
ChemE Car,berkeley.chemecar@gmail.com,TRUE,https://www.instagram.com/calchemecar/?hl=en,FALSE,https://www.facebook.com/berkeley.chemecar,
Chemistry Undergraduate Research Initiative and Enrichment at Berkeley,curieatberkeley@gmail.com,TRUE,https://www.instagram.com/curieatberkeley/,FALSE,https://facebook.com/curieatberkeley/,
Chess Club at Berkeley,ucbchess@gmail.com,TRUE,,FALSE,https://www.facebook.com/groups/ucbchessteam/,
Chi Epsilon - Civil Engineering Honor Society,berkeleyxe@gmail.com,TRUE,,FALSE,https://www.facebook.com/berkeley.xe,
Chi Omega,calchiomegapresident@gmail.com,TRUE,,FALSE,,
Chicanx/ Latinx Architecture Student Association,casistas@gmail.com,TRUE,http://instagram.com/casaberkeley/,FALSE,https://www.facebook.com/CASAatCal,
Chinese A Cappella at Berkeley,berkeleychineseacappella@gmail.com,TRUE,,FALSE,https://www.facebook.com/berchiaca,
Chinese Finance Club,chinesefinanceclub@gmail.com,TRUE,https://instagram.com/cfc.berkeley,FALSE,,
Chinese People Union,chinesepeopleunion@gmail.com,TRUE,,FALSE,https://www.facebook.com/berkeleyCPU,
Chinese Photography Association at Berkeley,maggie.cheng@berkeley.edu,TRUE,,FALSE,,
Chinese Student Association,csaberkeley@gmail.com,TRUE,https://www.instagram.com/csaberkeley/,FALSE,http://www.facebook.com/berkeleycsa,
Chinese Union Club at Berkeley,ucbcu2022@gmail.com,TRUE,https://instagram.com/chinese_union_berkeley?igshid=NmNmNjAwNzg=,FALSE,,
Christians on Campus,ucb.coc@gmail.com,TRUE,https://www.instagram.com/coc_ucb/,FALSE,https://facebook.com/coc.ucb,
Circle K International,cki.amishajain@gmail.com,TRUE,https://www.instagram.com/ucbcki/,FALSE,http://www.facebook.com/pages/UC-Berkeley-Circle-K/201581529880338,
Citizens' Climate Lobby at Berkeley,stubbsjessica@berkeley.edu,TRUE,https://www.instagram.com/cclberkeley/,FALSE,,
Cloud at California,cloudatcal@gmail.com,TRUE,https://www.instagram.com/cloudatcal/,FALSE,https://www.facebook.com/cloud.at.cal,
CMG Strategy Consulting (Formerly Creative Marketing Group),berkeleycmg@gmail.com,TRUE,https://instagram.com/berkeleycmg?igshid=4f96yvzp08wa,FALSE,https://www.facebook.com/berkeleycmg,
Code for Good,codeforgoodberkeley@gmail.com,TRUE,https://www.instagram.com/codeforgoodcal/,FALSE,,
Codebase,contact@codebase.berkeley.edu,TRUE,https://www.instagram.com/berkeleycodebase/,FALSE,https://www.facebook.com/berkeleycodebase,
Codeology,info@codeology.club,TRUE,http://www.instagram.com/berkeleycodeology,FALSE,http://facebook.com/berkeleycodeology,
Coffee Club at Berkeley (CCB),coffeeclubatberkeley@gmail.com,TRUE,https://www.instagram.com/coffeeclubatberkeley/,FALSE,,
Combat Robotics at Berkeley,info@crberkeley.org,TRUE,https://www.instagram.com/glitch.battlebots,FALSE,https://www.facebook.com/glitch.battlebots,
Computer Science Mentors,mentors@berkeley.edu,TRUE,https://www.instagram.com/csmentors,FALSE,https://www.facebook.com/BerkeleyCSM/,
Concrete Canoe,calconcretecanoe@gmail.com,TRUE,https://www.instagram.com/ucb_concretecanoe/,FALSE,,
Conscious Living Club at Berkeley,ucbconsciousliving@gmail.com,TRUE,https://www.instagram.com/ucbconsciousliving/,FALSE,,
Construction Competition Team,ucbconstructionteam@gmail.com,TRUE,,FALSE,https://www.facebook.com/CalConstructionTeam/,
Consult Your Community (CYC) at Berkeley,berkeley@consultyourcommunity.org,TRUE,,FALSE,https://www.facebook.com/ucbconsultyourcommunity/,
Core Consulting Group,berkeleyccg@gmail.com,TRUE,,FALSE,,
Cru,berkeleycru@gmail.com,TRUE,https://www.instagram.com/berkeley.cru/,FALSE,https://www.facebook.com/berkeley.cru/,
CS KickStart,cskickstart@gmail.com,TRUE,https://www.instagram.com/cs.kickstart/,FALSE,https://www.facebook.com/CS.KickStart/,
Daily Californian,editor@dailycal.org,TRUE,https://www.instagram.com/dailycal/,FALSE,http://www.facebook.com/dailycal,
Dance the Bay,dancethebay@gmail.com,TRUE,https://www.instagram.com/dancethebay/,FALSE,https://www.facebook.com/dancethebay,
Data Science Society at Berkeley,info@dss.berkeley.edu,TRUE,https://www.instagram.com/dssberkeley/,FALSE,http://www.facebook.com/dssberkeley,
DataGood at Berkeley,datagood@berkeley.edu,TRUE,https://www.instagram.com/datagoodberkeley/,FALSE,https://www.facebook.com/datagoodberkeley/,
DataStory,datastory.president@gmail.com,TRUE,,FALSE,https://www.facebook.com/DataStoryConsulting/,
Datong Society of China Studies at Berkeley,datongsociety@gmail.com,TRUE,,FALSE,https://www.facebook.com/DaTongSociety,
Debate Society of Berkeley,dianechao@berkeley.edu,TRUE,https://instagram.com/debatesocietyofberkeley?utm_medium=copy_link,FALSE,https://www.facebook.com/debateberkeley/?fref=ts,
DeCadence,decadence.berkeley@gmail.com,TRUE,https://www.instagram.com/decadence.berkeley/,FALSE,https://www.facebook.com/ucb.decadence/,
Decentralized Finance at Berkeley,marc.teoong@berkeley.edu,TRUE,,FALSE,,
Deewani, ucbdeewani@gmail.com,TRUE,http://www.instagram.com/ucbdeewani,FALSE,https://www.facebook.com/ucbdeewani,
Defenders at Berkeley (Formerly Criminal Defense Society),defenders@berkeley.edu,TRUE,,FALSE,,
Delta Consulting,deltaberkeley@gmail.com,TRUE,https://www.instagram.com/deltaberkeley/?hl=en,FALSE,https://www.facebook.com/berkeleydelta,
Delta Delta Delta,caltrideltapresident@gmail.com,TRUE,,FALSE,,
Delta Epsilon Mu Inc. (Alpha Psi Chapter),caldelta.epsilon.mu@gmail.com,TRUE,https://www.instagram.com/dem_alphapsi/,FALSE,http://facebook.com/demalphapsi,
Delta Gamma,dggammapresident@gmail.com,TRUE,https://www.instagram.com/caldeltagamma/,FALSE,,
Delta Kappa Alpha,president@berkeley.dka.org,TRUE,https://www.instagram.com/dkaberkeley/,FALSE,https://www.facebook.com/BerkeleyDKA/,
Delta Phi Epsilon Co-ed Professional Foreign Service Fraternity,berkeleydpe@gmail.com,TRUE,https://www.instagram.com/caldphie/,FALSE,https://www.facebook.com/BerkeleyDPhiE?fref=ts,
Delta Sigma,,TRUE,https://www.instagram.com/caldeltasigma/,FALSE,https://www.facebook.com/caldeltasigma/,
"Delta Sigma Theta Sorority, Inc.",kappa1921@gmail.com,TRUE,http://instagram.com/dstkappa,FALSE,,
Delta Upsilon,,TRUE,https://www.instagram.com/duberkeley/?hl=en,FALSE,https://www.facebook.com/ducalifornia,
Delta Xi Phi Multicultural Sorority,ucbdeltaxiphi@gmail.com,TRUE,https://www.instagram.com/caldeltaxiphi/,FALSE,https://www.facebook.com/dxpcal/?ref=aymt_homepage_panel,
Department of Integrative Biology Students,caldibs@gmail.com,TRUE,,FALSE,https://www.facebook.com/CalDIBS,
Design at Berkeley,designatberk@gmail.com,TRUE,http://www.instagram.com/designatberk,FALSE,http://www.facebook.com/designatberkeley,
DeTrash@Berkeley,,TRUE,http://www.instagram.com/detrash.berkeley,FALSE,,
Diaspora Magazine, diasporacal@gmail.com,TRUE,http://www.instagram.com/diasporacal,FALSE,,
Digital Rights Project,digitalrightsproject@law.berkeley.edu,TRUE,,FALSE,,
Dil Se,ucberkeleydilse@gmail.com,TRUE,https://www.instagram.com/ucberkeleydilse/,FALSE,https://www.facebook.com/ucberkeleydilse,
Direct Action for Farmworkers at Berkeley,daffwatberkeley@gmail.com,TRUE,https://www.instagram.com/daffwatberkeley/?hl=en,FALSE,,
Disability Rights Project,drp@berkeley.edu,TRUE,,FALSE,,
Disney Club at Berkeley,disneyclubatberkeley@gmail.com,TRUE,https://www.instagram.com/disneyclubatberkeley/,FALSE,http://facebook.com/DisneyClubAtBerkeley,
DiversaTech,diversatech.berkeley@gmail.com,TRUE,https://www.instagram.com/diversatech.berkeley/,FALSE,http://facebook.com/diversatechberkeley,
Doctors Without Borders at Berkeley,msf.ucberkeley@gmail.com,TRUE,https://www.instagram.com/berkeley_msf,FALSE,https://www.facebook.com/BerkeleyMSF/,
Down Syndrome Community Outreach at Berkeley,downsyndromeberkeley@gmail.com,TRUE,,FALSE,,
Drawn to Scale,cal.drawntoscale@gmail.com,TRUE,http://www.instagram.com/drawntoscaleberkeley,FALSE,https://www.facebook.com/dtsacappella,
DREAM Campus Ministry,Berkeley.Dream@gmail.com,TRUE,,FALSE,https://www.facebook.com/dreameastbay/,
Dutch Student Association at Berkeley,dutchstudentassn@gmail.com,TRUE,,FALSE,http://www.facebook.com/DSABerkeley/,
Earthquake Engineering Research Institute at Berkeley,eeri@berkeley.edu,TRUE,N/A,,N/A,
East Asian Union,chair@eau.berkeley.edu,TRUE,N/A,,N/A,
East Bay Dreamers Project,dreamersclinic@berkeley.edu,TRUE,N/A,,N/A,
Ecode ,ecodeatberkeley@gmail.com,TRUE,https://www.instagram.com/cal.ecode/,,https://www.facebook.com/cal.ecode,
Ecology Law Quarterly,elq@berkeley.edu,TRUE,https://www.instagram.com/ecologylawquarterly/,,https://www.facebook.com/groups/9369222689/,
Economists for Equity at Berkeley,we.berkeley@gmail.com,TRUE,N/A,,N/A,
Educate a Child for Change Organization at Berkeley,maryam.karimi@ecco.world,TRUE,N/A,,https://www.facebook.com/ecco.wor1d/,
Effective Altruists of Berkeley,eaofberkeley@gmail.com,TRUE,N/A,,https://www.facebook.com/effectivealtruismberkeley,
Eggster Organization,eggsteroverall@gmail.com,TRUE,https://www.instagram.com/eggsteratcal/,,https://www.facebook.com/EggsterOrganization,
Egyptian Student Association at Berkeley,N/A,TRUE,N/A,,https://www.facebook.com/groups/6584651317/,
Election Law @ Berkeley Law,electionlawberkeleylaw@gmail.com,TRUE,N/A,,N/A,
Electrical Engineering Graduate Student Association,eegsa@eecs.berkeley.edu,TRUE,N/A,,N/A,
Eleven: The Undergraduate Journal of Sociology,eleven.ucb@gmail.com,TRUE,https://www.instagram.com/eleven.berkeley/,,https://www.facebook.com/eleven.berkeley,
Empowering Women of Color Conference,ewocc-ga@berkeley.edu,TRUE,https://www.instagram.com/berkeleywoci/,,https://www.facebook.com/berkeleywomxnofcolor/,
EnableTech ,enabletechberkeley@gmail.com,TRUE,https://www.instagram.com/enabletech.berkeley/,,https://www.facebook.com/enabletechberkeley,
Enactus of Berkeley,N/A,TRUE,https://www.instagram.com/berkeleyenactus/,,https://www.facebook.com/EnactusBerkeley,
Engineering Student Council,president@esc.berkeley.edu,TRUE,N/A,,https://www.facebook.com/ESC.Berkeley,
Engineers and Mentors of Berkeley,beam.teach@gmail.com,TRUE,https://www.instagram.com/beam_berkeley/,,https://www.facebook.com/beam.teach/,
Engineers Without Borders at Berkeley,ewb.ucb@gmail.com,TRUE,N/A,,https://www.facebook.com/EWB.UCB,
English Undergraduate Association,berkeley.eua@gmail.com,TRUE,N/A,,https://www.facebook.com/berkeleyeua/,
Entomology Club,cal.entomology@gmail.com,TRUE,N/A,,N/A,
Entrepreneurs @ Berkeley,entrepreneuratberkeley@gmail.com,TRUE,https://www.instagram.com/entrepreneursatberkeley/,,https://www.facebook.com/EntrepreneursAtBerkeley/,
Environmental Health Alliance,ehaberkeley@gmail.com,TRUE,https://www.instagram.com/ehaberkeley/,,,
Environmental Health Sciences Graduate Students,gostout@berkeley.edu,TRUE,N/A,,N/A,
Environmental Sciences Student Association,berkeley.essa@gmail.com,TRUE,N/A,,N/A,
Environmental Team,calenviroteam@gmail.com,TRUE,https://www.instagram.com/calenviro/,,https://www.facebook.com/calenvironmental,
Epsilon Eta,epsilonetaberkeley@gmail.com,TRUE,https://www.instagram.com/epsilonetaberkeley/,,https://www.facebook.com/epsilonetaucberkeley/,
Epsilon Pi at Berkeley,alcala@berkeley.edu,TRUE,N/A,,N/A,
ERG Online,ergdeskb@berkeley.edu,TRUE,https://www.instagram.com/ergberkeley/,,https://www.facebook.com/ERGBerkeley/,
ERRC Writing Clinic,writing.clinic@errchina.com,TRUE,N/A,,https://www.facebook.com/ERRChina/,
Erupture Angel Network,N/A,TRUE,https://www.instagram.com/erupture.co/,,N/A,
ESPM Graduate Diversity Council,espmgdc@berkeley.edu,TRUE,N/A,,https://www.facebook.com/groups/espmgdc/,
ESPM Graduate Student Association,espm-gsa-2022-2023@googlegroups.com,TRUE,N/A,,N/A,
ESPM Graduate Student Research Organizing Committee for the Symposium,rachael_ryan@berkeley.edu,TRUE,N/A,,N/A,
Eta Kappa Nu,hkn@hkn.eecs.berkeley.edu,TRUE,N/A,,N/A,
Eta Omega Chi,etaomegachi@gmail.com,TRUE,N/A,,https://www.facebook.com/etaomegachi,
EthiCal Apparel,ethicalapparel@gmail.com,TRUE,https://www.instagram.com/ethical_apparel/,,https://www.facebook.com/ethicalapparel,
European Gourmet Student Association,europeangourmetsa@gmail.com,TRUE,https://www.instagram.com/europeangourmets/,,N/A,
Eustory at Berkeley,eustoryatbkl@gmail.com,TRUE,N/A,,N/A,
Expanding Your Horizons at Berkeley,eyhberkeleyinfo@gmail.com,TRUE,https://www.instagram.com/eyhatberkeley/,,https://www.facebook.com/EYHatBerkeley/,
Exsurgo - Professional Development Society of Berkeley,ronitnath@berkeley.edu,TRUE,https://www.instagram.com/exsurgoberkeley/,,https://www.facebook.com/exsurgoberkeley,
Extended Reality @ Berkeley,contact@xr.berkeley.edu,TRUE,N/A,,https://www.facebook.com/xratberkeley/,
Eyechat!,ucbso.eyechat@gmail.com ,TRUE,https://www.instagram.com/cal.eyechat/,,https://www.facebook.com/cal.eyechat/,
Faces of African Muslims,famucb@gmail.com,TRUE,N/A,,N/A,
Family Defense Project,familydefense@berkeley.edu,TRUE,N/A,,N/A,
Fashion and Student Trends,calfastinternal@gmail.com,TRUE,https://www.instagram.com/fastcal/,,https://www.facebook.com/FASTcal,
Fastpitch Softball at Berkeley,berkeleyclubsoftball@gmail.com,TRUE,https://www.instagram.com/calclubsoftball/,,https://www.facebook.com/calclubsoftball/,
Fed Challenge at Berkeley,N/A,TRUE,https://www.instagram.com/fedchallengeatberkeley/,,N/A,
Federalist Society at Berkeley Law,berkeleyfederalistsociety@gmail.com,TRUE,N/A,,N/A,
FeelGood,feelgoodberk@gmail.com,TRUE,https://www.instagram.com/feelgoodberk/,,https://www.facebook.com/groups/520120276124202/,
Fei Tian Dancers,dance.chinese@gmail.com.,TRUE,https://www.instagram.com/fei_tian_dancers/?hl=en,,https://www.facebook.com/FeiTianDancers,
Fellowship in Christ in Berkeley,college@christcentralsf.com,TRUE,N/A,,https://www.facebook.com/groups/ficbsays/,
FEMTech ,femtechberkeley@gmail.com,TRUE,https://www.instagram.com/femtechberkeley/?hl=en,,https://www.facebook.com/FEMTechBerkeley,
Fiat Lux Scholars Association,ucberkeleyflsa@berkeley.edu,TRUE,N/A,,https://www.instagram.com/calflsa/,
Field Hockey Club of Berkeley,fhcb@gmail.com,TRUE,N/A,,N/A,
Fighting for Hope at Berkeley,N/A,TRUE,https://www.instagram.com/fightingfor_hope/,,N/A,
Fighting Games at Berkeley,berkeleyfgc@gmail.com,TRUE,N/A,,N/A,
Financial Education Association of Berkeley,berkeleyfin.ed@gmail.com,TRUE,https://www.instagram.com/berkeleyfinancialed/,,N/A,
Financial Engineering Students Association,mfe@haas.berkeley.edu,TRUE,N/A,,N/A,
Fintech at Berkeley,fintechberkeley@gmail.com,TRUE,https://www.instagram.com/fintechberkeley/,,https://www.facebook.com/fintech.berkeley,
First Love at Berkeley,eddieland12@berkeley.edu,TRUE,N/A,,N/A,
First-Gen and/or Low-Income Graduate Students,fgligrads@gmail.com,TRUE,https://www.instagram.com/fgligrads/,,https://www.facebook.com/groups/FGLIGrads,
FoCUS,Kathyt@fpcberkeley.org,TRUE,N/A,,https://www.facebook.com/groups/637658479586502/,
Food Institute Graduate Council at Berkeley,kelsey.kamanani@berkeley.edu,TRUE,https://www.instagram.com/figc.at.berkeley/,,N/A,
Food Justice Project,foodjustice@law.berkeley.edu,TRUE,https://www.instagram.com/berkeleylawfjp/,,N/A,
"Food, Equity, Entrepreneurship, & Development",feedberkeley@gmail.com,TRUE,https://www.instagram.com/feedberkeley/,,https://www.facebook.com/feedberkeley,
For Christ's Sake,FCSBerkeley@gmail.com,TRUE,https://www.instagram.com/fcsacappella/,,https://www.facebook.com/fcsacappella,
Foresight Pre-Optometry Club,foresight.president@gmail.com,TRUE,https://www.instagram.com/roarsight/,,https://www.facebook.com/UCBForesight,
Formula Electric at Berkeley,contact@ev.berkeley.edu,TRUE,https://www.instagram.com/formulaelectricberkeley/,,https://www.facebook.com/formulaelectricberkeley/,
Formula SAE,fsae@me.berkeley.edu,TRUE,https://www.instagram.com/calformulasae/,,https://www.facebook.com/calracing?fref=ts,
Foster Education Project,fostered@law.berkeley.edu,TRUE,N/A,,N/A,
Foundation for International Medical Relief of Children,fimrc.berkeley@gmail.com,TRUE,https://www.instagram.com/fimrc.berkeley/,,https://www.facebook.com/fimrc.atberkeley,
The Free Peach,bbfisher@berkeley.edu,TRUE,https://www.instagram.com/thefreepeach/,,https://www.facebook.com/thefreepeach/,
Free the Land Project,ftlp@berkeley.edu,TRUE,N/A,,N/A,
Free Ventures,alexander@freeventures.org,TRUE,N/A,,https://www.facebook.com/FreeVentures/,
Friends of the Co-ops,housing@bsc.coop,TRUE,https://www.instagram.com/bsc.coop/,,https://www.facebook.com/BerkeleyStudentCooperative,
"Future Business Leaders of America-Phi Beta Lambda, Inc.",execs@pbl.berkeley.edu,TRUE,https://www.instagram.com/berkeleypbl/,,https://www.facebook.com/berkeleypbl,
Future Surgeons of America Club,nikitaclassof2023@berkeley.edu,TRUE,https://www.instagram.com/futuresurgeonsofamerica/,,https://www.facebook.com/UCBerkeleyFSA/,
"G.I.F.T.E.D. (Give to Inspire the Future of Talented, Educated Doctors) Pre-Med",giftedpremed@gmail.com,TRUE,https://www.instagram.com/giftedpremed/,,N/A,
GA Berkeley Business Law Journal,bblj@law.berkeley.edu,TRUE,https://www.instagram.com/bbljberkeley/,,https://www.facebook.com/BBLJBerkeley,
GA President,president-ga@berkeley.edu,TRUE,N/A,,https://www.facebook.com/BerkeleyGA,
GAG!,gag.magazin3@gmail.com,TRUE,https://www.instagram.com/gag.magazine/,,N/A,
Game Design and Development at Berkeley,calgamedesign@gmail.com,TRUE,https://www.instagram.com/gddatberkeley/,,N/A,
Gaming at Berkeley,gamingatberkeley@gmail.com,TRUE,N/A,,https://www.facebook.com/groups/gamingatberkeley,
Gamma Phi Beta (Gamma Phi),cal.gammaphi.pres@gmail.com,TRUE,https://www.instagram.com/calgammaphi/?hl=en,,,
Gamma Rho Lambda,lambda@gammarholambda.org,TRUE,https://www.instagram.com/grlberkeley/,,https://www.facebook.com/profile.php?id=100069817388623,
"Gamma Zeta Alpha Fraternity, Inc.",calgammas@gmail.com,TRUE,https://www.instagram.com/calgammas/,,https://www.facebook.com/Berkeley.Gammas,
Genshin at Berkeley,N/A,TRUE,https://www.instagram.com/genshinatberkeley/,,,
GENup Collegiate at Berkeley,genupcoberkeley@gmail.com,TRUE,https://www.instagram.com/genupco.berkeley/,,https://www.facebook.com/profile.php?id=100052524862447,
GeoEngineering Graduate Student Association at Berkeley,geoengineering@berkeley.edu,TRUE,N/A,,N/A,
Geography Group on Gender and Difference,pettis@berkeley.edu,TRUE,N/A,,N/A,
Geological Association at Berkeley,helenhhnb2001@berkeley.edu,TRUE,https://www.instagram.com/gab_berkeley/,,N/A,
GeoWall at Berkeley,geowallcal@gmail.com,TRUE,N/A,,N/A,
Gia Magazine,giamag.ucb@gmail.com,TRUE,https://www.instagram.com/gia.mag/?hl=en,,https://www.facebook.com/giamagucb/,
Gifts at Berkeley,giftsatberkeley@gmail.com,TRUE,https://www.instagram.com/giftsatberkeley/,,https://www.facebook.com/giftsatberkeley,
Girl Up,ssarmiento@berkeley.edu,TRUE,N/A,,https://www.facebook.com/GirlUpBerkeley,
Girls Who Code at Berkeley,gwcberkeley@gmail.com,TRUE,https://www.instagram.com/gwcberkeley/,,https://www.facebook.com/gwcberkeley,
Global Health Brigades at Berkeley,mfroch@berkeley.edu,TRUE,N/A,,https://www.facebook.com/groups/4271083839587823,
Global Investors at Berkeley,globalinvestorsatberkeley@gmail.com,TRUE,https://www.instagram.com/globalinvestorsatberkeley/,,N/A,
Global Leadership Organization at Berkeley,globerkeley.president@gmail.com,TRUE,https://www.instagram.com/globerkeley/,,https://www.facebook.com/GLOBerkeley/,
Global Medical Missions Alliance at Berkeley,berkeleygmma@gmail.com,TRUE,https://www.instagram.com/berkeleygmma/,,https://www.facebook.com/groups/GMMABerkeley/,
Global Medical Training,gmtucberkeley@gmail.com,TRUE,https://www.instagram.com/calgmt/,,N/A,
Global Research and Consulting Group at Berkeley,berkeley@grcglobalgroup.com,TRUE,https://www.instagram.com/grcberkeley/?igshid=YmMyMTA2M2Y%3D,,https://www.facebook.com/grcberkeley,
GlobeMed at Berkeley,berkeley@globemed.org,TRUE,https://www.instagram.com/globemed.berkeley/?hl=en,,https://www.facebook.com/GlobeMedatBerkeley,
Gold Key International Optometric Honor Society at Berkeley,ucbsogoldkey@gmail.com,TRUE,https://www.instagram.com/goldkey_berkeley/,,N/A,
Golden Records,adithreddi@berkeley.edu,TRUE,N/A,,https://www.facebook.com/GoldenRecordsUS/,
Google Developer Student Club at Berkeley,william_henderson@berkeley.edu,TRUE,https://www.instagram.com/googledevs/,,https://www.facebook.com/googledevelopers/,
Graduate Architecture Student Union,ced.gasu@berkeley.edu,TRUE,N/A,,N/A,
Graduate Assembly of Students in Psychology,gasp@berkeley.edu,TRUE,N/A,,https://www.facebook.com/groups/CalGASP/,
Graduate Association of Latinx Students,berkeley.gals@gmail.com,TRUE,N/A,,https://www.facebook.com/groups/berkeleygals,
Graduate Economics Association,gea@econ.berkeley.edu,TRUE,N/A,,N/A,
Graduate Geographers of Berkeley,samstein@berkeley.edu,TRUE,N/A,,N/A,
Graduate School of Education Research Day Organizational Committee,educationresearchday@gmail.com,TRUE,N/A,,N/A,
Graduate Student Journal of the School of Education,bre_editor@berkeley.edu,TRUE,N/A,,https://www.facebook.com/BerkeleyReviewofEducation/,
Graduate Students in Agricultural Economics,cpjackson@berkeley.edu,TRUE,N/A,,N/A,
Graduate Women of Engineering,gradswe@berkeley.edu,TRUE,N/A,,https://www.facebook.com/groups/gradwomengUCB/,
Gravity Group Investment Club at Berkeley,gravity.group.at.berkeley@gmail.com,TRUE,N/A,,N/A,
Greeks Against Sexual Assault at Berkeley ,gasa@calgreeks.com,TRUE,N/A,,https://www.facebook.com/ucbgasa/,
